url,title,mileage_listed,list_price_displayed,dealer_info
https://www.truecar.com/used-cars-for-sale/listing/1FDWE3FS3KDC42505/2019-ford-e-series-cutaway/?position=9&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace,"Used 2019 Ford E-Series Cutaway E-350 138"" SRW","89,689 miles","$21,995",Napleton Ford of Oak Lawn
https://www.truecar.com/used-cars-for-sale/listing/W1NKM4HB1SF247918/2025-mercedes-benz-glc/?position=10&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace,Used 2025 Mercedes-Benz GLC 300 SUV 4MATIC,"5,147 miles","$44,944",Fletcher Jones Mercedes Benz of Chicago CPO
https://www.truecar.com/used-cars-for-sale/listing/2C4RC1CG8NR218813/2022-chrysler-voyager/?position=11&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace,Used 2022 Chrysler Voyager LX FWD,"51,353 miles","$18,995",Napleton's Arlington Heights Chrysler Dodge Jeep Ram
https://www.truecar.com/used-cars-for-sale/listing/2C4RC1BG5ER111560/2014-chrysler-town-country/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace,Used 2014 Chrysler Town & Country Touring,"102,132 miles","$7,999",Rosen Hyundai of Algonquin
https://www.truecar.com/used-cars-for-sale/listing/3GNCJLSB0HL189913/2017-chevrolet-trax/?position=13&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace,Used 2017 Chevrolet Trax LT FWD,"120,939 miles","$6,995",Carzinc
https://www.truecar.com/used-cars-for-sale/listing/ZN661YUM1PX437234/2023-maserati-levante/?position=14&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace,Used 2023 Maserati Levante Modena,664 miles,"$57,515",Zeigler Chrysler Dodge Jeep Ram of Schaumburg
https://www.truecar.com/used-cars-for-sale/listing/2LMHJ5AT8KBL00473/2019-lincoln-mkt/?position=15&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace&zipcode=60162,Used 2019 Lincoln MKT Reserve 3.5L AWD,"53,900 miles","$22,998",CarMax Kenosha
https://www.truecar.com/used-cars-for-sale/listing/1N4BL4DV5NN363245/2022-nissan-altima/?position=16&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace,Used 2022 Nissan Altima 2.5 SV FWD,"70,274 miles","$15,597",Napleton Lincoln of Schaumburg
https://www.truecar.com/used-cars-for-sale/listing/WP1AD2A24HLA80948/2017-porsche-cayenne/?position=17&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace,Used 2017 Porsche Cayenne GTS AWD,"92,103 miles","$26,700",Guaranteed Motor Cars
https://www.truecar.com/used-cars-for-sale/listing/WAUD2AFD3EN010928/2014-audi-s8/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace,Used 2014 Audi S8 Sedan,"98,896 miles","$23,999",Specialty Motors
