sales_price,price_tier,year,vehicle_age,make,model,trim,odometer_miles,fuel_type,exterior,interior,dealer_state,dealer_distance_miles,source_metro,feature_count,standard_feature_count
26102.0,below_market,2022,4,Jeep,Wrangler,Unlimited Sport,21359,Gas,Sting-Gray Clearcoat,Black,IL,867.0,chicago_il,0,0
19713.0,below_market,2018,8,Jeep,Wrangler,Unlimited Sport S (JL),76518,Gas,Bright White Clearcoat,Black,MA,24.0,boston_ma,0,0
25800.0,below_market,2020,6,Jeep,Wrangler,Unlimited Sport S,57933,Gas,Granite Crystal Metallic Clearcoat,Black,CA,2670.0,san-francisco_ca,0,0
26998.0,,2021,5,Jeep,Wrangler,Unlimited Willys Sport,62904,Gas,Hydro Blue Pearlcoat,Black,TX,0.0,austin_tx,0,0
18500.0,below_market,2020,6,Jeep,Wrangler,Unlimited Sport S,100752,Gas,Granite Crystal Metallic Clearcoat,Black,MA,1.0,boston_ma,0,0
25199.0,below_market,2021,5,Jeep,Wrangler,Unlimited Sport S,51892,Gas,Black Clearcoat,Black,MA,34.0,boston_ma,0,0
27900.0,near_market,2021,5,Jeep,Wrangler,Unlimited Sport Altitude,66609,Gas,Black Clearcoat,Black,MA,23.0,boston_ma,0,0
30495.0,below_market,2023,3,Jeep,Wrangler,Unlimited Sport,10690,Gas,Granite Crystal Metallic Clearcoat,Black,IL,862.0,chicago_il,0,0
26750.0,near_market,2021,5,Jeep,Wrangler,Unlimited Willys,70815,Gas,Sting-Gray Clearcoat,Black,MI,630.0,detroit_mi,0,0
22159.0,below_market,2020,6,Jeep,Wrangler,Unlimited Sport S,83953,Gas,Black Clearcoat,Black,MA,33.0,boston_ma,0,0
22880.0,near_market,2019,7,Jeep,Wrangler,Unlimited Sport,59262,Gas,White,Black,MI,615.0,detroit_mi,0,0
27988.0,near_market,2021,5,Jeep,Wrangler,Unlimited 80th Anniversary,52088,Gas,Gray,Black,MI,595.0,detroit_mi,0,0
27998.0,near_market,2021,5,Jeep,Wrangler,Unlimited Sport S,60382,Gas,Black Clearcoat,Black,TX,1699.0,austin_tx,0,0
27360.0,below_market,2022,4,Jeep,Wrangler,Unlimited Willys,72950,Gas,Sarge Green Clearcoat,Black,WA,2476.0,seattle_wa,0,0
23000.0,below_market,2021,5,Jeep,Wrangler,Unlimited Sport Altitude,97878,Diesel,Black Clearcoat,Black,MI,641.0,detroit_mi,0,0
22500.0,below_market,2020,6,Jeep,Wrangler,Unlimited Sport S,75842,Gas,Bikini Pearlcoat,Black,OH,647.0,detroit_mi,0,0
26999.0,below_market,2021,5,Jeep,Wrangler,Unlimited Sport S,35187,Gas,Sting-Gray Clearcoat,Black,MA,35.0,boston_ma,0,0
30324.0,below_market,2021,5,Jeep,Wrangler,Unlimited Willys,24964,Gas,Billet Silver Metallic Clearcoat,Black,IL,848.0,chicago_il,0,0
27985.0,below_market,2021,5,Jeep,Wrangler,Unlimited Willys,44662,Gas,Black Clearcoat,Black,IL,867.0,chicago_il,0,0
21989.0,below_market,2018,8,Jeep,Wrangler,Unlimited Sport S (JL),47432,Gas,Bright White Clearcoat,Black,CA,2667.0,san-francisco_ca,0,0
25500.0,near_market,2021,5,Jeep,Wrangler,Unlimited Sport,55048,Gas,Sting-Gray Clearcoat,Black,MI,641.0,detroit_mi,0,0
30855.0,below_market,2021,5,Jeep,Wrangler,Unlimited Sport Altitude,26150,Gas,Bright White Clearcoat,Black,MA,29.0,boston_ma,0,0
24600.0,below_market,2020,6,Jeep,Wrangler,Unlimited Sport S,50996,Gas,Black Clearcoat,Black,IL,850.0,chicago_il,0,0
27795.0,below_market,2021,5,Jeep,Wrangler,Unlimited Sport S,43617,Gas,Bright White Clearcoat,Black,IL,861.0,chicago_il,0,0
25877.0,near_market,2021,5,Jeep,Wrangler,Unlimited Sport,53778,Gas,Bright White Clearcoat,Black,WA,2477.0,seattle_wa,0,0
26999.0,below_market,2021,5,Jeep,Wrangler,Unlimited 80th Anniversary,41264,Gas,Black Clearcoat,Black,WA,2475.0,seattle_wa,0,0
27494.0,near_market,2021,5,Jeep,Wrangler,Unlimited Willys,55730,Gas,Bright White Clearcoat,Black,IL,861.0,chicago_il,0,0
23699.0,near_market,2020,6,Jeep,Wrangler,Unlimited Sport S,74745,Gas,Black Clearcoat,Black,IL,852.0,chicago_il,0,0
21800.0,below_market,2019,7,Jeep,Wrangler,Unlimited Sport S,68479,Gas,Black Clearcoat,Black,IL,854.0,chicago_il,0,0
24721.0,below_market,2020,6,Jeep,Wrangler,Unlimited Sport S,55814,Gas,Billet Silver Metallic Clearcoat,Black,WA,2475.0,seattle_wa,0,0
19225.0,below_market,2021,5,Jeep,Wrangler,Unlimited Sport Altitude,126625,Gas,Sarge Green Clearcoat,Black,MI,631.0,detroit_mi,0,0
27999.0,near_market,2018,8,Jeep,Wrangler,Unlimited Moab,72306,Gas,Firecracker Red Clearcoat,Black,MI,607.0,detroit_mi,0,0
25995.0,near_market,2021,5,Jeep,Wrangler,Unlimited Sahara,81537,Gas,Bright White Clearcoat,Black,MI,606.0,detroit_mi,0,0
22988.0,below_market,2018,8,Jeep,Wrangler,Unlimited Sahara (JL),78193,Gas,Billet Silver Metallic Clearcoat,Black,WA,2482.0,seattle_wa,0,0
28888.0,below_market,2020,6,Jeep,Wrangler,Unlimited Sahara High Altitude,52274,Gas,Firecracker Red Clearcoat,Black,IL,859.0,chicago_il,0,0
28000.0,below_market,2021,5,Jeep,Wrangler,Unlimited Sahara Altitude,59900,Gas,Bright White Clearcoat,Black,MI,620.0,detroit_mi,0,0
23968.0,below_market,2018,8,Jeep,Wrangler,Unlimited Sahara (JL),73773,Gas,Granite Crystal Metallic Clearcoat,Black,MI,625.0,detroit_mi,0,0
26900.0,near_market,2019,7,Jeep,Wrangler,Unlimited Sahara,58715,Gas,Granite Crystal Metallic Clearcoat,Black,MI,606.0,detroit_mi,0,0
22990.0,below_market,2020,6,Jeep,Wrangler,Unlimited Sahara High Altitude,99439,Gas,Gray,Black,MI,603.0,detroit_mi,0,0
26444.0,below_market,2020,6,Jeep,Wrangler,Unlimited Sahara,41284,Gas,Granite Crystal Metallic Clearcoat,Black,TX,1759.0,austin_tx,0,0
